spkid,full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y
20004544,4544 Xanthus (1989 FB),Y,N,0,1.3,,,,,1.06
20004660,4660 Nereus (1982 DB),Y,Y,0,0.33,,,,,1.81
20004688,4688 (1980 WF),Y,N,0,0.6,,0.930,0.463,,3.34
20004769,4769 Castalia (1989 PB),Y,Y,0,1.4,,,,,1.1
20004954,4954 Eric (1990 SQ),Y,N,0,10.8,,,,,2.83
20004957,4957 Brucemurray (1990 XJ),Y,N,0,3.499,,,,,1.96
20005143,5143 Heracles (1991 VL),Y,N,1,4.843,,,,,2.49
20005332,5332 Davidaguilar (1990 DA),Y,N,0,3.6,,,,,3.18
20005370,5370 Taranis (1986 RA),Y,N,0,3.6,,,,,6.05
20005381,5381 Sekhmet (1991 JY),Y,N,1,0.935,,,,,0.922
20005587,5587 (1990 SB),Y,N,0,3.57,,,,,3.72
20005604,5604 (1992 FE),Y,Y,0,0.55,,,,,0.895
20005645,5645 (1990 SP),Y,N,0,1.668,,,,,1.58
20005646,5646 (1990 TR),Y,N,1,4.3,,,,,3.14
20005653,5653 Camarillo (1992 WD5),Y,N,0,1.537,,,,,2.4
20005731,5731 Zeus (1988 VP4),Y,N,0,5.231,,,,,3.41
20005751,5751 Zao (1992 AC),Y,N,0,2.3,,,,,3.05
20005797,5797 Bivoj (1980 AA),Y,N,0,0.4,,,,,2.61
20005828,5828 (1991 AM),Y,N,0,1.457,,,,,2.21
20005836,5836 (1993 MF),Y,N,0,2.754,,,,,3.81
20005863,5863 Tara (1983 RB),Y,N,0,1.345,,,,,3.31
20006050,6050 Miwablock (1992 AE),Y,N,0,2.884,,,,,3.27
20006053,6053 (1993 BW3),Y,N,0,3.720,,,,,3.15
20006063,6063 Jason (1984 KB),Y,N,0,1.4,,,,,3.31
20006178,6178 (1986 DA),Y,N,0,2.3,,0.677,0.267,,4.72
20006455,6455 (1992 HE),Y,N,0,4.626,,,,,3.35
20006489,6489 Golevka (1991 JX),Y,Y,0,0.53,,,,,3.91
20006611,6611 (1993 VW),Y,N,0,1.408,,,,,2.21
20007025,7025 (1993 QA),Y,N,0,0.498,,,,,1.79
20007088,7088 Ishtar (1992 AA),Y,N,1,1.298,,,,,2.79
20007092,7092 Cadmus (1992 LC),Y,N,0,6.319,,,,,4.06
20007335,7335 (1989 JA),Y,Y,1,1.8,,,,,2.36
20007341,7341 (1991 VK),Y,Y,0,0.982,,,,,2.5
20007350,7350 (1993 VA),Y,N,0,1.921,,,,,1.58
20007482,7482 (1994 PC1),Y,Y,0,1.052,,,,,1.57
20007822,7822 (1991 CS),Y,Y,0,1.602,,,,,1.19
20007839,7839 (1994 ND),Y,N,0,0.784,,,,,3.19
20007888,7888 (1993 UC),Y,N,1,2.298,,,,,3.81
20007889,7889 (1994 LX),Y,N,1,1.680,,,,,1.42
20008013,8013 Gordonmoore (1990 KA),Y,N,0,2.3,,,,,3.27
20008014,8014 (1990 MF),Y,Y,0,0.7,,,,,2.31
20008201,8201 (1994 AH2),Y,N,0,1.859,,,,,4.05
20008566,8566 (1996 EN),Y,Y,0,1.568,,,,,1.85
20008567,8567 (1996 HW1),Y,N,0,2.928,,,,,2.92
20009162,9162 Kwiila (1987 OA),Y,N,0,1.127,,,,,1.83
20009202,9202 (1993 PB),Y,N,0,1.617,,,,,1.7
20009400,9400 (1994 TW1),Y,N,0,3.698,,,,,4.16
20009856,9856 (1991 EE),Y,Y,0,1.0,,,,,3.36
20010115,10115 (1992 SK),Y,Y,0,0.938,,,,,1.4
20010165,10165 (1995 BL2),Y,N,0,0.829,,,,,1.37
20010636,10636 (1998 QK56),Y,N,0,0.533,,,,,2.59
20011066,11066 Sigurd (1992 CC1),Y,N,0,2.104,,,,,1.64
20011398,11398 (1998 YP11),Y,N,0,1.316,,,,,2.26
20011405,11405 (1999 CV3),Y,N,0,3.621,,,,,1.76
20011500,11500 Tomaiyowit (1989 UR),Y,Y,0,0.738,,,,,1.12
20011885,11885 Summanus (1990 SS),Y,N,0,1.298,,,,,2.22
20012538,12538 (1998 OH),Y,Y,0,1.663,,,,,1.91
20012923,12923 Zephyr (1999 GK4),Y,Y,0,2.060,,,,,2.75
20013651,13651 (1997 BR),Y,Y,0,0.562,,,,,1.54
20014402,14402 (1991 DB),Y,N,0,0.6,,,,,2.25
20014827,14827 Hypnos (1986 JK),Y,Y,0,0.9,,0.684,0.492,,4.79
20016064,16064 Davidharvey (1999 RH27),Y,N,0,4.106,,,,,4.81
20016834,16834 (1997 WU22),Y,N,0,1.87,,,,,1.78
20017182,17182 (1999 VU),Y,N,0,2.885,,,,,1.63
20017188,17188 (1999 WC2),Y,N,0,1.819,,,,,3.3
20017274,17274 (2000 LC16),Y,N,0,3.183,,,,,4.51
20019356,19356 (1997 GH3),Y,N,0,0.91,,,,,3.98
20019764,19764 (2000 NF5),Y,N,0,1.572,,,,,3.34
20020460,20460 Robwhiteley (1999 LO28),Y,N,0,2.716,,,,,2.57
20020826,20826 (2000 UV13),Y,N,0,3.687,,,,,3.76
20021088,21088 Chelyabinsk (1992 BL2),Y,N,0,2.793,,,,,2.23
20022099,22099 (2000 EX106),Y,N,0,0.524,,,,,1.16
20023183,23183 (2000 OY21),Y,N,0,1.098,,,,,2.46
20023606,23606 (1996 AS1),Y,N,0,0.866,,,,,2.32
20025143,25143 Itokawa (1998 SF36),Y,Y,0,0.33,2.1E-09,,,,1.52
20025330,25330 (1999 KV4),Y,N,0,3.21,,,,,1.91
20025916,25916 (2001 CP44),Y,N,0,5.683,,,,,4.09
20026760,26760 (2001 KP41),Y,N,0,5.400,,,,,4.82
20026817,26817 (1987 QB),Y,N,0,1.172,,,,,4.7
20027346,27346 (2000 DN8),Y,N,0,1.802,,,,,2.57
20029075,29075 (1950 DA),Y,Y,0,1.3,,,,,2.21
20033342,33342 (1998 WT24),Y,Y,0,0.432,,,,,0.609
20035107,35107 (1991 VH),Y,Y,1,0.929,,,,,1.21
20035396,35396 (1997 XF11),Y,Y,0,0.704,,,,,1.73
20036183,36183 (1999 TX16),Y,N,0,2.339,,,,,1.93
20038086,38086 Beowulf (1999 JB),Y,N,0,0.643,,,,,1.69
20038091,38091 (1999 JT3),Y,N,0,2.517,,,,,3.2
20039572,39572 (1993 DQ1),Y,Y,0,1.554,,,,,2.91
20039796,39796 (1997 TD),Y,N,0,2.131,,,,,3.38
20040263,40263 (1999 FQ5),Y,N,0,0.954,,,,,1.83
20040267,40267 (1999 GJ4),Y,N,0,1.641,,,,,1.55
20041429,41429 (2000 GE2),Y,Y,0,0.204,,,,,2.01
20048603,48603 (1995 BC2),Y,N,0,0.844,,,,,2.66
20052387,52387 Huitzilopochtli (1993 OM7),Y,N,0,0.890,,,,,1.45
20052750,52750 (1998 KK17),Y,N,0,1.059,,,,,1.7
20052760,52760 (1998 ML14),Y,Y,0,1.0,,,,,3.74
20052762,52762 (1998 MT24),Y,N,0,6.742,,,,,3.76
20052768,52768 (1998 OR2),Y,Y,0,1.75,,,,,3.67
20053319,53319 (1999 JM8),Y,Y,0,7,,,,,4.49
20053430,53430 (1999 TY16),Y,N,0,1.233,,,,,3.04
20053789,53789 (2000 ED104),Y,Y,0,0.843,,,,,1.6
20054401,54401 (2000 LM),Y,N,0,1.189,,,,,2.24
20054686,54686 (2001 DU8),Y,N,0,1.349,,,,,2.37
20054789,54789 (2001 MZ7),Y,N,0,1.567,,,,,2.37
20055408,55408 (2001 TC2),Y,N,0,0.461,,,,,1.15
20055532,55532 (2001 WG2),Y,N,0,1.306,,,,,2.4
20065679,65679 (1989 UQ),Y,Y,0,0.918,,,,,0.875
20065803,65803 Didymos (1996 GT),Y,Y,1,0.78,,,,,2.11
20066008,66008 (1998 QH2),Y,N,0,1.484,,,,,1.7
20066146,66146 (1998 TU3),Y,N,0,2.864,,,,,0.699
20066251,66251 (1999 GJ2),Y,N,0,1.222,,,,,1.9
20066272,66272 (1999 JW6),Y,N,0,0.808,,,,,1.85
20066391,66391 Moshup (1999 KW4),Y,Y,1,1.317,,,,,0.515
20066400,66400 (1999 LT7),Y,N,0,0.411,,,,,0.791
20068063,68063 (2000 YJ66),Y,N,1,2.301,,,,,3.57
20068216,68216 (2001 CV26),Y,Y,0,0.994,,,,,1.52
20068267,68267 (2001 EA16),Y,N,0,0.875,,,,,1.85
20068278,68278 (2001 FC7),Y,N,0,0.942,,,,,1.72
20068346,68346 (2001 KZ66),Y,Y,0,0.736,,,,,1.85
20068348,68348 (2001 LO7),Y,N,0,3.512,,,,,3.16
20068350,68350 (2001 MK3),Y,N,0,1.794,,,,,2.16
20068548,68548 (2001 XR31),Y,Y,0,1.182,,,,,2.23
20068950,68950 (2002 QF15),Y,Y,0,1.650,,,,,1.09
20085182,85182 (1991 AQ),Y,Y,0,1.1,,,,,3.31
20085275,85275 (1994 LY),Y,N,0,2.506,,,,,2.6
20085628,85628 (1998 KV2),Y,N,1,0.775,,,,,2.01
20085709,85709 (1998 SG36),Y,N,0,2.230,,,,,2.11
20085713,85713 (1998 SS49),Y,Y,0,3.484,,,,,2.67
20085774,85774 (1998 UT18),Y,Y,0,0.939,,,,,1.66
20085804,85804 (1998 WQ5),Y,N,0,2.272,,,,,2.26
20085818,85818 (1998 XM4),Y,N,0,2.028,,,,,2.13
20085839,85839 (1998 YO4),Y,N,0,1.140,,,,,2.13
20085953,85953 (1999 FK21),Y,N,0,0.59,,,,,0.635
20085989,85989 (1999 JD6),Y,Y,0,1.462,,,,,0.83
20085990,85990 (1999 JV6),Y,Y,0,0.451,,,,,1.01
20086039,86039 (1999 NC43),Y,Y,0,2.22,,,,,2.33
20086067,86067 (1999 RM28),Y,N,0,1.245,,,,,2.45
20086324,86324 (1999 WA2),Y,N,0,2.102,,,,,2.76
20086326,86326 (1999 WK13),Y,N,0,1.348,,,,,2.5
20086666,86666 (2000 FL10),Y,N,0,1.165,,,,,1.77
20086667,86667 (2000 FO10),Y,N,0,0.745,,,,,0.797
20086819,86819 (2000 GK137),Y,Y,0,0.802,,,,,2.82
20086829,86829 (2000 GR146),Y,N,0,1.823,,,,,1.77
20087309,87309 (2000 QP),Y,N,0,0.568,,,,,0.78
20087311,87311 (2000 QJ1),Y,N,0,1.948,,,,,2.01
20088188,88188 (2000 XH44),Y,N,0,1.371,,,,,2.85
20088213,88213 (2001 AF2),Y,N,0,0.912,,,,,0.932
20088254,88254 (2001 FM129),Y,Y,0,0.800,,,,,1.29
20088263,88263 (2001 KQ1),Y,N,0,5.748,,,,,3.04
20088710,88710 (2001 SL9),Y,N,1,0.760,,,,,1.09
20089355,89355 (2001 VS78),Y,N,0,2.038,,,,,2.39
20089830,89830 (2002 CE),Y,Y,0,5.067,,,,,3
20089959,89959 (2002 NT7),Y,Y,0,1.407,,,,,2.29
20090075,90075 (2002 VU94),Y,Y,0,2.233,,,,,3.12
20090367,90367 (2003 LC5),Y,N,0,1.748,,,,,1.24
20090403,90403 (2003 YE45),Y,Y,0,0.572,,,,,1.37
20090416,90416 (2003 YK118),Y,Y,0,0.968,,,,,2.21
20096189,96189 Pygmalion (1991 NT3),Y,N,0,3.605,,,,,2.46
20096590,96590 (1998 XB),Y,N,0,0.882,,,,,0.865
20099248,99248 (2001 KY66),Y,Y,0,1.115,,,,,2.55
20099907,99907 (1989 VA),Y,N,0,1.4,,,,,0.622
20099942,99942 Apophis (2004 MN4),Y,Y,0,0.34,,,,,0.886
20100004,100004 (1983 VA),Y,N,0,2.70,,,,,4.17
20100756,100756 (1998 FM5),Y,N,0,1.809,,,,,3.41
20100926,100926 (1998 MQ),Y,N,0,1.174,,,,,2.38
20101955,101955 Bennu (1999 RQ36),Y,Y,0,0.482,4.8904E-09,0.64,0.16,-0.33,1.2
20103067,103067 (1999 XA143),Y,Y,0,1.282,,,,,2.5
20105140,105140 (2000 NL10),Y,N,0,1.946,,,,,0.874
20105141,105141 (2000 NF11),Y,N,0,0.352,,,,,1.69
20108519,108519 (2001 LF),Y,N,0,1.423,,,,,2.03
20111253,111253 (2001 XU10),Y,Y,0,3.006,,,,,2.32
20112985,112985 (2002 RS28),Y,N,0,3.618,,,,,3.31
20136564,136564 (1977 VA),Y,N,0,0.4,,0.705,0.205,,2.55
20136874,136874 (1998 FH74),Y,N,0,3.398,,,,,3.27
20137032,137032 (1998 UO1),Y,N,0,1.055,,,,,2.02
20137062,137062 (1998 WM),Y,N,0,1.265,,,,,1.36
20137084,137084 (1998 XS16),Y,N,0,1.228,,,,,1.33
20137099,137099 (1998 YW3),Y,N,0,0.564,,,,,1.15
20137805,137805 (1999 YK5),Y,N,0,2.243,,,,,0.755
20137924,137924 (2000 BD19),Y,N,0,0.970,,,,,0.821
20137925,137925 (2000 BJ19),Y,N,0,1.372,,,,,1.47
20138013,138013 (2000 CN101),Y,N,0,3.518,,,,,2.02
20138127,138127 (2000 EE14),Y,Y,0,0.754,,,,,0.538
20138359,138359 (2000 GX127),Y,N,0,1.085,,,,,1.22
20138847,138847 (2000 VE62),Y,N,0,0.965,,,,,2.06
20138883,138883 (2000 YL29),Y,N,0,1.222,,,,,1.9
20138947,138947 (2001 BA40),Y,N,0,0.447,,,,,1.18
20139056,139056 (2001 FY),Y,N,0,0.32,,,,,2.59
20139289,139289 (2001 KR1),Y,N,0,1.126,,,,,1.41
20139345,139345 (2001 KA67),Y,N,0,2.586,,,,,2.42
20140158,140158 (2001 SX169),Y,Y,0,0.566,,,,,1.56
20140288,140288 (2001 SN289),Y,Y,0,1.263,,,,,2.38
20141432,141432 (2002 CQ11),Y,Y,0,0.239,,,,,0.965
20141484,141484 (2002 DB4),Y,N,0,1.034,,,,,0.795
20141531,141531 (2002 GB),Y,N,0,0.303,,,,,0.988
20142040,142040 (2002 QE15),Y,N,0,1.232,,,,,2.15
20142464,142464 (2002 TC9),Y,N,0,0.886,,,,,1.37
20142563,142563 (2002 TR69),Y,N,0,0.860,,,,,2.14
20142781,142781 (2002 UM11),Y,N,0,1.595,,,,,2.73
20143624,143624 (2003 HM16),Y,Y,0,2.137,,,,,2.76
20144901,144901 (2004 WG1),Y,N,0,2.240,,,,,2.1
20152558,152558 (1990 SA),Y,N,0,1.4,,,,,2.86
20152563,152563 (1992 BF),Y,N,0,0.272,,,,,0.865
20152564,152564 (1992 HF),Y,N,0,0.282,,,,,1.64
20152671,152671 (1998 HL3),Y,Y,0,0.298,,,,,1.2
20152679,152679 (1998 KU2),Y,N,0,4.167,,,,,3.38
20152742,152742 (1998 XE12),Y,N,0,0.413,,,,,0.823
20152754,152754 (1999 GS6),Y,Y,0,0.414,,,,,1.3
20152889,152889 (2000 CF59),Y,N,0,1.022,,,,,2.18
20152931,152931 (2000 EA107),Y,N,0,1.646,,,,,0.897
20152941,152941 (2000 FM10),Y,N,0,0.820,,,,,1.8
20152952,152952 (2000 GC2),Y,N,0,0.776,,,,,1.63
20152964,152964 (2000 GP82),Y,N,0,0.788,,,,,1.65
20152978,152978 (2000 GJ147),Y,Y,0,0.531,,,,,1.25
20153195,153195 (2000 WB1),Y,N,0,1.327,,,,,1.48
20153201,153201 (2000 WO107),Y,Y,0,0.510,,,,,0.87
20153219,153219 (2000 YM29),Y,N,0,1.289,,,,,3.02
20153249,153249 (2001 BW15),Y,N,0,3.160,,,,,3.08
20153271,153271 (2001 CL42),Y,N,0,2.441,,,,,1.94
20153591,153591 (2001 SN263),Y,Y,2,2,,,,,2.8
20153814,153814 (2001 WN5),Y,Y,0,0.932,,,,,2.24
20153842,153842 (2001 XT30),Y,N,0,1.759,,,,,4.56
20154029,154029 (2002 CY46),Y,N,0,1.119,,,,,2.6
20154035,154035 (2002 CV59),Y,N,0,1.098,,,,,1.33
20154276,154276 (2002 SY50),Y,Y,0,1.060,,,,,2.23
20154589,154589 (2003 MX2),Y,N,0,1.109,,,,,3.47
20154590,154590 (2003 MA3),Y,Y,0,0.086,,,,,1.16
20154807,154807 (2004 PP97),Y,N,0,0.469,,,,,1.81
20154993,154993 (2005 EA94),Y,N,0,0.828,,,,,1.87
20155110,155110 (2005 TB),Y,N,0,0.683,,,,,1.42
20159454,159454 (2000 DJ8),Y,N,0,0.577,,,,,1.68
20159459,159459 (2000 KB),Y,N,0,1.769,,,,,3.57
20159504,159504 (2000 WO67),Y,Y,0,2.324,,,,,3.8
20159518,159518 (2001 FF7),Y,N,0,1.784,,,,,3.05
20159560,159560 (2001 TO103),Y,N,0,1.156,,,,,3.29
20159686,159686 (2002 LB6),Y,N,0,1.845,,,,,2.42
20159857,159857 (2004 LJ1),Y,Y,0,3.070,,,,,3.4
20159929,159929 (2005 UK),Y,N,0,2.620,,,,,2.59
20161989,161989 Cacus (1978 CA),Y,Y,0,1.9,,0.910,0.484,,1.19
20161999,161999 (1989 RC),Y,N,0,0.458,,,,,3.52
20162000,162000 (1990 OS),Y,Y,1,0.4,,,,,2.17
20162038,162038 (1996 DH),Y,N,0,1.959,,,,,2
20162058,162058 (1997 AE12),Y,N,0,0.847,,,,,3.64
20162080,162080 (1998 DG16),Y,N,0,0.777,,,,,0.849
20162116,162116 (1998 SA15),Y,Y,0,0.538,,,,,2.65
20162142,162142 (1998 VR),Y,N,0,0.462,,,,,0.819
20162173,162173 Ryugu (1999 JU3),Y,Y,0,0.896,3E-08,,,,1.3
20162181,162181 (1999 LF6),Y,N,0,0.729,,,,,1.67
20162269,162269 (1999 VO6),Y,N,0,1.010,,,,,1.21
20162385,162385 (2000 BM19),Y,N,0,0.812,,,,,0.637
20162463,162463 (2000 JH5),Y,N,0,1.048,,,,,1.23
20162483,162483 (2000 PJ5),Y,N,1,0.906,,,,,0.815
20162510,162510 (2000 QW69),Y,Y,0,1.406,,,,,1.61
20162566,162566 (2000 RJ34),Y,N,0,4.299,,,,,4.26
20162567,162567 (2000 RW37),Y,Y,0,0.335,,,,,1.39
20162741,162741 (2000 WG6),Y,N,0,3.945,,,,,3.53
20162903,162903 (2001 JV2),Y,N,0,1.086,,,,,1.49
20162980,162980 (2001 RR17),Y,N,0,0.790,,,,,1.94
20162998,162998 (2001 SK162),Y,Y,0,0.875,,,,,2.67
20163132,163132 (2002 CU11),Y,Y,0,0.460,,,,,1.35
20163243,163243 (2002 FB3),Y,Y,0,1.682,,,,,0.665
20163348,163348 (2002 NN4),Y,Y,0,0.735,,,,,0.82
20163454,163454 (2002 RN129),Y,N,0,0.712,,,,,1.25
20163691,163691 (2003 BB43),Y,N,0,3.449,,,,,3.76
20163694,163694 (2003 DP13),Y,N,0,0.832,,,,,4.29
20163760,163760 (2003 OR14),Y,N,0,2.343,,,,,3.98
20163818,163818 (2003 RX7),Y,Y,0,0.386,,,,,1.36
20163899,163899 (2003 SD220),Y,Y,0,0.791,,,,,0.753
20164121,164121 (2003 YT1),Y,Y,1,1.717,,,,,1.17
20164206,164206 (2004 FN18),Y,N,0,1.138,,,,,2.22
20164207,164207 (2004 GU9),Y,Y,0,0.163,,,,,1
20168318,168318 (1989 DA),Y,Y,0,0.9,,,,,3.18
20168378,168378 (1997 ET30),Y,N,0,0.841,,,,,3.12
20169352,169352 (2001 UY16),Y,N,0,0.316,,,,,3.01
20172034,172034 (2001 WR1),Y,N,0,0.631,,,,,1.44
20173689,173689 (2001 PK9),Y,N,0,0.724,,,,,2.37
20175706,175706 (1996 FG3),Y,Y,1,1.196,,,,,1.08
20175921,175921 (2000 DM1),Y,N,0,1.039,,,,,1.6
20184990,184990 (2006 KE89),Y,N,0,2.039,,,,,1.08
20185716,185716 (1998 SF35),Y,N,0,0.629,,,,,2.19
20185851,185851 (2000 DP107),Y,Y,1,0.863,3.224E-08,,,,1.6
20187040,187040 (2005 JS108),Y,Y,0,0.430,,,,,1.58
20190119,190119 (2004 VA64),Y,N,0,1.451,,,,,3.88
20190161,190161 (2005 TJ174),Y,N,0,3.041,,,,,3.35
20190166,190166 (2005 UP156),Y,N,1,1.045,,,,,3.08
20194268,194268 (2001 UY4),Y,Y,0,1.244,,,,,1.75
20194386,194386 (2001 VG5),Y,N,0,0.916,,,,,3.49
20198856,198856 (2005 LR3),Y,N,0,0.742,,,,,2.13
20200754,200754 (2001 WA25),Y,N,0,0.553,,,,,2.33
20206378,206378 (2003 RB),Y,Y,0,0.376,,,,,2.39
20207945,207945 (1991 JW),Y,Y,0,0.423,,,,,1.06
20209924,209924 (2005 WS55),Y,N,0,1.861,,,,,2.89
20211871,211871 (2004 HO),Y,N,0,0.411,,,,,2.51
20212359,212359 (2006 EV52),Y,N,0,1.261,,,,,2.86
20214088,214088 (2004 JN13),Y,N,0,2.423,,,,,4.91
20215442,215442 (2002 MQ3),Y,N,0,1.075,,,,,0.873
20215588,215588 (2003 HF2),Y,Y,0,0.488,,,,,1.18
20215757,215757 (2004 FU64),Y,N,0,0.780,,,,,2.49
20217628,217628 Lugh (1990 HA),Y,Y,0,1.4,,,,,4.02
20218017,218017 (2001 XV266),Y,N,0,0.451,,,,,1.31
20218863,218863 (2006 WO127),Y,N,0,1.237,,,,,3.26
20219071,219071 (1997 US9),Y,N,0,0.657,,,,,1.08
20220124,220124 (2002 TE66),Y,N,0,0.609,,,,,1.76
20221980,221980 (1996 EO),Y,Y,0,0.432,,,,,1.55
20225416,225416 (1999 YC),Y,N,0,1.651,,,,,1.7
20226554,226554 (2003 WR21),Y,Y,0,0.482,,,,,1.18
20228502,228502 (2001 TE2),Y,N,0,0.302,,,,,1.13
20230118,230118 (2001 DB3),Y,N,0,1.166,,,,,4.39
20230549,230549 (2003 BH),Y,Y,0,0.217,,,,,1.76
20230979,230979 (2005 AT42),Y,N,0,1.522,,,,,4.83
20231937,231937 (2001 FO32),Y,Y,0,0.55,,,,,2.21
20232382,232382 (2003 BT47),Y,N,0,1.123,,,,,3.57
20234061,234061 (1999 HE1),Y,N,0,2.900,,,,,3.63
20234145,234145 (2000 EW70),Y,Y,0,0.344,,,,,0.908
20234341,234341 (2001 FZ57),Y,N,0,0.344,,,,,0.917
20235086,235086 (2003 HW11),Y,N,0,1.024,,,,,3.61
20235756,235756 (2004 VC),Y,Y,0,1.136,,,,,1.21
20237551,237551 (2000 WQ19),Y,N,0,0.630,,,,,1.67
20237805,237805 (2002 CF26),Y,N,0,0.703,,,,,2.03
20238063,238063 (2003 EG),Y,N,0,1.470,,,,,2.29
20238456,238456 (2004 RK),Y,N,0,0.328,,,,,1.64
20239849,239849 (1999 VO11),Y,N,0,0.450,,,,,3.39
20241370,241370 (2008 LW8),Y,N,0,0.764,,,,,2.17
20241596,241596 (1998 XM2),Y,N,0,1.548,,,,,2.43
20241662,241662 (2000 KO44),Y,N,0,0.898,,,,,2.48
20242147,242147 (2003 BH84),Y,N,0,1.687,,,,,2.74
20242187,242187 (2003 KR18),Y,N,0,0.605,,,,,3.59
20242191,242191 (2003 NZ6),Y,N,0,0.370,,,,,0.707
20242450,242450 (2004 QY2),Y,Y,0,2.914,,,,,1.13
