"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20000140,"   140 Siwa (A874 TB)",N,N,0,109.79,,0.721,0.299,,4.52
20000141,"   141 Lumen (A875 AA)",N,N,0,117.916,,,,,4.36
20000142,"   142 Polana (A875 BA)",N,N,0,54.812,,0.621,0.236,,3.77
20000143,"   143 Adria (A875 DA)",N,N,0,95.377,,0.738,0.336,,4.59
20000144,"   144 Vibilia (A875 LA)",N,N,0,142.38,,0.727,0.402,,4.32
20000145,"   145 Adeona (A875 LB)",N,N,0,127.783,,0.701,0.352,,4.37
20000146,"   146 Lucina (A875 LC)",N,N,0,160.310,,0.703,0.405,,4.48
20000147,"   147 Protogeneia (A875 NA)",N,N,0,132.93,,0.678,0.293,,5.56
20000148,"   148 Gallia (A875 PA)",N,N,0,97.75,,0.858,0.423,,4.61
20000149,"   149 Medusa (A875 SA)",N,N,0,23.719,,0.803,0.500,,3.21
20000150,"   150 Nuwa (A875 UA)",N,N,0,119.128,,0.706,0.275,,5.15
20000151,"   151 Abundantia (A875 VA)",N,N,0,39.037,,0.867,0.496,,4.17
20000152,"   152 Atala (A875 VB)",N,N,0,58.964,,0.882,0.452,,5.56
20000153,"   153 Hilda (A875 VC)",N,N,0,170.63,,0.669,0.243,,7.91
20000154,"   154 Bertha (A875 VD)",N,N,0,192.611,,,,,5.71
20000155,"   155 Scylla (A875 VE)",N,N,0,39.605,,0.688,0.234,,4.59
20000156,"   156 Xanthippe (A875 WA)",N,N,0,143.346,,0.713,0.315,,4.52
20000157,"   157 Dejanira (A875 XA)",N,N,0,19.959,,,,,4.14
20000158,"   158 Koronis (A876 AA)",N,N,0,39.025,,0.859,0.394,,4.86
20000159,"   159 Aemilia (A876 BA)",N,N,0,125.236,,0.700,0.380,,5.48
20000160,"   160 Una (A876 DA)",N,N,0,81.24,,0.718,0.363,,4.5
20000161,"   161 Athor (A876 HA)",N,N,0,40.992,,0.719,0.208,,3.67
20000162,"   162 Laurentia (A876 HB)",N,N,0,97.021,,0.747,0.374,,5.24
20000163,"   163 Erigone (A876 HC)",N,N,0,81.579,,0.717,0.341,,3.64
20000164,"   164 Eva (A876 NA)",N,N,0,100.254,,0.684,0.326,,4.27
20000165,"   165 Loreley (A876 PA)",N,N,0,180.083,,0.722,0.291,,5.53
20000166,"   166 Rhodope (A876 PB)",N,N,0,52.393,,0.725,0.425,,4.4
20000167,"   167 Urda (A876 QA)",N,N,0,39.935,,0.837,0.400,,4.82
20000168,"   168 Sibylla (A876 SA)",N,N,0,145.366,,0.745,0.384,,6.2
20000169,"   169 Zelia (A876 SB)",N,N,0,37.517,,0.848,0.458,,3.62
20000170,"   170 Maria (A877 AA)",N,N,0,33.136,,0.886,0.447,,4.08
20000171,"   171 Ophelia (A877 AB)",N,N,0,130.808,,0.695,0.341,,5.53
20000172,"   172 Baucis (A877 CA)",N,N,0,62.43,,0.890,0.499,,3.67
20000173,"   173 Ino (A877 PA)",N,N,0,125.821,,0.705,0.305,,4.54
20000174,"   174 Phaedra (A877 RA)",N,N,0,64.849,,0.858,0.484,,4.84
20000175,"   175 Andromache (A877 TA)",N,N,0,94.532,,0.706,0.332,,5.69
20000176,"   176 Iduna (A877 TB)",N,N,0,106.976,,,,,5.67
20000177,"   177 Irma (A877 VA)",N,N,0,69.049,,0.730,0.350,,4.61
20000178,"   178 Belisana (A877 VB)",N,N,0,35.81,,0.904,0.486,,3.86
20000179,"   179 Klytaemnestra (A877 VC)",N,N,0,69.946,,0.832,0.408,,5.13
20000180,"   180 Garumna (A878 BA)",N,N,0,23.440,,0.829,0.451,,4.49
20000181,"   181 Eucharis (A878 CB)",N,N,0,115.383,,0.815,0.379,,5.52
20000182,"   182 Elsa (A878 CC)",N,N,0,39.520,,0.862,0.425,,3.75
20000183,"   183 Istria (A878 CD)",N,N,0,32.927,,0.842,0.359,,4.67
20000184,"   184 Dejopeja (A878 DA)",N,N,0,62.483,,0.699,0.227,,5.71
20000185,"   185 Eunike (A878 EA)",N,N,0,160.464,,0.668,0.331,,4.53
20000186,"   186 Celuta (A878 GA)",N,N,0,49.99,,0.859,0.397,,3.63
20000187,"   187 Lamberta (A878 GB)",N,N,0,147.294,,0.709,0.348,,4.51
20000188,"   188 Menippe (A878 MA)",N,N,0,35.752,,0.891,0.386,,4.59
20000189,"   189 Phthia (A878 RA)",N,N,0,38.490,,0.904,0.491,,3.84
20000190,"   190 Ismene (A878 SA)",N,N,0,159,,0.683,0.269,,7.98
20000191,"   191 Kolga (A878 SB)",N,N,0,94.536,,0.675,0.258,,4.93
20000192,"   192 Nausikaa (A879 DA)",N,N,0,98.776,,0.927,0.487,,3.72
20000193,"   193 Ambrosia (A879 DB)",N,N,0,26.302,,0.811,0.306,,4.19
20000194,"   194 Prokne (A879 FA)",N,N,0,161.667,,0.724,0.341,,4.23
20000195,"   195 Eurykleia (A879 HA)",N,N,0,93.109,,0.704,0.387,,4.88
20000196,"   196 Philomela (A879 JA)",N,N,0,144.626,,0.852,0.451,,5.49
20000197,"   197 Arete (A879 KA)",N,N,0,31.729,,0.908,0.496,,4.54
20000198,"   198 Ampella (A879 LA)",N,N,0,54.323,,0.885,0.421,,3.85
20000199,"   199 Byblis (A879 NA)",N,N,0,76.129,,,,,5.62
20000200,"   200 Dynamene (A879 OA)",N,N,0,128.301,,0.727,0.375,,4.53
20000201,"   201 Penelope (A879 PA)",N,N,0,85.877,,0.720,0.233,,4.38
20000202,"   202 Chryseis (A879 RA)",N,N,0,86.15,,0.875,0.475,,5.37
20000203,"   203 Pompeja (A879 SA)",N,N,0,124.592,,0.702,0.293,,4.53
20000204,"   204 Kallisto (A879 TA)",N,N,0,48.566,,0.813,0.415,,4.37
20000205,"   205 Martha (A879 TB)",N,N,0,76.983,,0.688,0.350,,4.63
20000206,"   206 Hersilia (A879 TC)",N,N,0,113,,0.690,0.345,,4.53
20000207,"   207 Hedda (A879 UA)",N,N,0,57.880,,0.722,0.389,,3.45
20000208,"   208 Lacrimosa (A879 UB)",N,N,0,40.056,,0.841,0.407,,4.92
20000209,"   209 Dido (A879 UC)",N,N,0,179.008,,0.691,0.294,,5.58
20000210,"   210 Isabella (A879 VA)",N,N,0,86.65,,0.667,0.248,,4.49
20000211,"   211 Isolda (A879 XA)",N,N,0,141.125,,0.711,0.364,,5.32
20000212,"   212 Medea (A880 CA)",N,N,0,136.12,,0.704,0.286,,5.51
20000213,"   213 Lilaea (A880 DA)",N,N,0,82.096,,0.650,0.221,,4.58
20000214,"   214 Aschera (A880 DB)",N,N,0,24.957,,0.700,0.217,,4.22
20000215,"   215 Oenone (A880 GA)",N,N,0,35.210,,0.845,0.451,,4.6
20000216,"   216 Kleopatra (A880 GB)",N,N,2,122,,0.713,0.238,,4.67
20000217,"   217 Eudora (A880 QA)",N,N,0,65.392,,,,,4.85
20000218,"   218 Bianca (A880 RA)",N,N,0,60.62,,0.859,0.443,,4.35
20000219,"   219 Thusnelda (A880 SA)",N,N,0,37.674,,0.905,0.482,,3.61
20000220,"   220 Stephania (A881 KA)",N,N,0,31.738,,,,,3.6
20000221,"   221 Eos (A882 BA)",N,N,0,95.469,,0.768,0.410,,5.23
20000222,"   222 Lucia (A882 CA)",N,N,0,55.350,,0.688,0.395,,5.6
20000223,"   223 Rosa (A882 EA)",N,N,0,79.806,,0.706,0.285,,5.44
20000224,"   224 Oceana (A882 FA)",N,N,0,58.236,,0.748,0.201,,4.3
20000225,"   225 Henrietta (A882 HA)",N,N,0,95.934,,0.648,0.282,,6.26
20000226,"   226 Weringia (A882 OA)",N,N,0,31.494,,,,,4.47
20000227,"   227 Philosophia (A882 PA)",N,N,0,123.891,,,,,5.61
20000229,"   229 Adelinda (A882 QB)",N,N,0,105.912,,0.708,0.253,,6.33
20000230,"   230 Athamantis (A882 RA)",N,N,0,111.332,,0.871,0.440,,3.68
20000231,"   231 Vindobona (A882 RB)",N,N,0,73.545,,,,,4.98
20000232,"   232 Russia (A883 BA)",N,N,0,54.730,,0.709,0.366,,4.09
20000233,"   233 Asterope (A883 JA)",N,N,0,99.672,,0.775,0.321,,4.34
20000234,"   234 Barbara (A883 PA)",N,N,0,45.476,,0.897,0.488,,3.68
20000235,"   235 Carolina (A883 WA)",N,N,0,57.517,,0.897,0.541,,4.89
20000236,"   236 Honoria (A884 HA)",N,N,0,77.708,,0.852,0.444,,4.68
20000237,"   237 Coelestina (A884 MA)",N,N,0,41.08,,0.787,0.413,,4.59
20000238,"   238 Hypatia (A884 NA)",N,N,0,155.659,,0.739,0.383,,4.96
20000239,"   239 Adrastea (A884 QA)",N,N,0,37.609,,,,,5.11
20000240,"   240 Vanadis (A884 QB)",N,N,0,87.928,,0.705,0.368,,4.35
20000241,"   241 Germania (A884 RA)",N,N,0,168.90,,0.689,0.289,,5.32
20000242,"   242 Kriemhild (A884 SA)",N,N,0,40.802,,,,,4.84
20000243,"   243 Ida (A884 SB)",N,N,1,32,0.00275,0.802,0.416,,4.84
20000245,"   245 Vera (A885 CA)",N,N,0,75.949,,0.841,0.476,,5.45
20000246,"   246 Asporina (A885 EA)",N,N,0,50.891,,0.990,0.602,,4.42
20000247,"   247 Eukrate (A885 EB)",N,N,0,130.935,,0.691,0.295,,4.54
20000248,"   248 Lameia (A885 LA)",N,N,0,50.120,,0.830,0.340,,3.88
20000249,"   249 Ilse (A885 QA)",N,N,0,34.83,,0.750,0.330,,3.67
20000250,"   250 Bettina (A885 RA)",N,N,0,120.995,,0.728,0.262,,5.57
20000251,"   251 Sophia (A885 TA)",N,N,0,27.495,,,,,5.45
20000252,"   252 Clementina (A885 TB)",N,N,0,65.344,,,,,5.62
20000253,"   253 Mathilde (A885 VA)",N,N,0,52.8,0.00689,,,,4.31
20000255,"   255 Oppavia (A886 FB)",N,N,0,56.939,,0.764,0.275,,4.55
20000256,"   256 Walpurga (A886 GA)",N,N,0,66.634,,,,,5.21
20000257,"   257 Silesia (A886 GB)",N,N,0,72.66,,0.761,0.384,,5.51
20000258,"   258 Tyche (A886 JA)",N,N,0,64.78,,0.876,0.459,,4.23
20000259,"   259 Aletheia (A886 MA)",N,N,0,174.318,,0.698,0.311,,5.54
20000260,"   260 Huberta (A886 TA)",N,N,0,101.539,,0.714,0.306,,6.41
20000261,"   261 Prymno (A886 UA)",N,N,0,50.011,,0.700,0.299,,3.56
20000263,"   263 Dresda (A886 VB)",N,N,0,23.952,,,,,4.91
20000264,"   264 Libussa (A886 YA)",N,N,0,62.969,,0.840,0.419,,4.68
20000265,"   265 Anna (A887 DA)",N,N,0,22.767,,,,,3.77
20000266,"   266 Aline (A887 KA)",N,N,0,109.494,,0.707,0.336,,4.7
20000267,"   267 Tirza (A887 KB)",N,N,0,55.998,,,,,4.62
20000268,"   268 Adorea (A887 LA)",N,N,0,144.585,,0.663,0.285,,5.44
20000269,"   269 Justitia (A887 SA)",N,N,0,50.728,,,,,4.23
20000270,"   270 Anahita (A887 TA)",N,N,0,51.400,,0.866,0.530,,3.26
20000271,"   271 Penthesilea (A887 TB)",N,N,0,65.901,,0.724,0.348,,5.2
20000272,"   272 Antonia (A888 CA)",N,N,0,26.870,,,,,4.63
20000273,"   273 Atropos (A888 EA)",N,N,0,29.768,,0.760,0.374,,3.71
20000274,"   274 Philagoria (A888 GA)",N,N,0,27.307,,,,,5.34
20000275,"   275 Sapientia (A888 GB)",N,N,0,103,,0.723,0.324,,4.61
20000276,"   276 Adelheid (A888 HA)",N,N,0,114.723,,0.708,0.271,,5.5
20000277,"   277 Elvira (A888 JA)",N,N,0,30.422,,0.806,0.436,,4.9
20000278,"   278 Paulina (A888 KA)",N,N,0,32.773,,,,,4.57
20000279,"   279 Thule (A888 UA)",N,N,0,126.59,,0.746,0.232,,8.81
20000280,"   280 Philia (A888 UB)",N,N,0,45.69,,0.650,0.220,,5.04
20000282,"   282 Clorinde (A889 BA)",N,N,0,39.03,,0.628,0.274,,3.58
20000283,"   283 Emma (A889 CA)",N,N,1,132.385,,0.712,0.297,,5.32
20000284,"   284 Amalia (A889 KA)",N,N,0,52.95,,0.698,0.380,,3.63
20000285,"   285 Regina (A889 PA)",N,N,0,47.156,,,,,5.43
20000286,"   286 Iclea (A889 PB)",N,N,0,94.30,,0.690,0.328,,5.71
20000287,"   287 Nephthys (A889 QA)",N,N,0,59.615,,0.873,0.490,,3.61
20000288,"   288 Glauke (A890 DA)",N,N,0,28.981,,0.845,0.407,,4.58
20000289,"   289 Nenetta (A890 EA)",N,N,0,37.586,,1.047,0.655,,4.87
20000292,"   292 Ludovica (A890 HB)",N,N,0,30.864,,0.860,0.440,,4.02
20000293,"   293 Brasilia (A890 KA)",N,N,0,57.486,,0.721,0.352,,4.84
20000294,"   294 Felicia (A890 NA)",N,N,0,51.865,,,,,5.6
20000295,"   295 Theresia (A890 QA)",N,N,0,28.340,,0.862,0.501,,4.68
20000297,"   297 Caecilia (A890 RA)",N,N,0,39.48,,,,,5.64
20000298,"   298 Baptistina (A890 RB)",N,N,0,21.135,,,,,3.41
20000299,"   299 Thora (A890 TA)",N,N,0,15.757,,,,,3.8
20000300,"   300 Geraldina (A890 TB)",N,N,0,67.373,,,,,5.73
20000301,"   301 Bavaria (A890 WA)",N,N,0,53.042,,,,,4.5
20000302,"   302 Clarissa (A890 VA)",N,N,0,38.53,,0.639,0.294,,3.73
20000303,"   303 Josephina (A891 CA)",N,N,0,124.923,,,,,5.52
20000304,"   304 Olga (A891 CB)",N,N,0,65.990,,0.708,0.249,,3.72
20000305,"   305 Gordonia (A891 DA)",N,N,0,47.739,,0.919,0.507,,5.43
20000306,"   306 Unitas (A891 EA)",N,N,0,47.200,,0.864,0.453,,3.62
20000307,"   307 Nike (A891 EB)",N,N,0,61.313,,0.669,0.267,,4.96
20000308,"   308 Polyxo (A891 FA)",N,N,0,128.578,,0.783,0.379,,4.56
20000309,"   309 Fraternitas (A891 GA)",N,N,0,41.075,,,,,4.35
20000310,"   310 Margarita (A891 KA)",N,N,0,33.708,,,,,4.59
20000311,"   311 Claudia (A891 LA)",N,N,0,26.300,,0.843,0.437,,4.93
20000312,"   312 Pierretta (A891 QA)",N,N,0,46.191,,0.843,0.429,,4.64
20000313,"   313 Chaldaea (A891 QB)",N,N,0,71.183,,0.715,0.342,,3.66
20000314,"   314 Rosalia (A891 RA)",N,N,0,60.689,,,,,5.62
20000316,"   316 Goberta (A891 RC)",N,N,0,56.067,,,,,5.68
20000317,"   317 Roxane (A891 RD)",N,N,1,18.648,,0.694,0.238,,3.46
20000318,"   318 Magdalena (A891 SA)",N,N,0,85,,0.685,0.290,,5.71
20000319,"   319 Leona (A891 TA)",N,N,0,49.943,,,,,6.29
20000320,"   320 Katharina (A891 TB)",N,N,0,23.362,,,,,5.22
20000321,"   321 Florentina (A891 TC)",N,N,0,27.974,,0.792,0.410,,4.91
20000322,"   322 Phaeo (A891 WB)",N,N,0,69.855,,0.719,0.230,,4.65
20000323,"   323 Brucia (A891 YB)",N,N,0,27.714,,0.893,0.480,,3.68
20000324,"   324 Bamberga (A892 DA)",N,N,0,220.691,,0.695,0.309,,4.39
20000325,"   325 Heidelberga (A892 EA)",N,N,0,75.72,,0.714,0.268,,5.77
20000326,"   326 Tamara (A892 FD)",N,N,0,93.00,,0.708,0.318,,3.53
20000327,"   327 Columbia (A892 FE)",N,N,0,30.291,,,,,4.63
20000328,"   328 Gudrun (A892 FF)",N,N,0,145.680,,,,,5.48
20000329,"   329 Svea (A892 FG)",N,N,0,81.057,,0.698,0.331,,3.9
